id,Etapa,Sensor,Temperatura,hora,minuto,segundo,fecha_de_llegada
182,16,11,15.2,10,17,35,2025-08-08 10:18:37
183,16,12,14.6,10,17,35,2025-08-08 10:18:37
184,16,13,15.0,10,17,35,2025-08-08 10:18:37
185,16,14,15.1,10,17,35,2025-08-08 10:18:37
186,16,15,15.5,10,17,35,2025-08-08 10:18:37
187,16,16,14.9,10,17,35,2025-08-08 10:18:37
188,16,17,14.9,10,17,35,2025-08-08 10:18:37
189,16,18,14.9,10,17,35,2025-08-08 10:18:37
190,16,19,15.3,10,17,35,2025-08-08 10:18:37
191,16,20,14.3,10,17,35,2025-08-08 10:18:37
192,16,21,14.6,10,17,35,2025-08-08 10:18:37
193,17,10,14.7,10,17,50,2025-08-08 10:18:37
194,17,11,15.2,10,17,50,2025-08-08 10:18:37
195,17,12,14.6,10,17,50,2025-08-08 10:18:37
196,17,13,15.0,10,17,50,2025-08-08 10:18:37
197,17,14,15.1,10,17,50,2025-08-08 10:18:37
198,17,15,15.5,10,17,50,2025-08-08 10:18:37
199,17,16,14.9,10,17,50,2025-08-08 10:18:37
200,17,17,14.9,10,17,50,2025-08-08 10:18:37
201,17,18,14.9,10,17,50,2025-08-08 10:18:37
202,17,19,15.3,10,17,50,2025-08-08 10:18:37
203,17,20,14.3,10,17,50,2025-08-08 10:18:37
204,17,21,14.6,10,17,50,2025-08-08 10:18:37
205,18,10,14.7,10,18,5,2025-08-08 10:18:37
206,18,11,15.2,10,18,5,2025-08-08 10:18:37
207,18,12,14.6,10,18,5,2025-08-08 10:18:37
208,18,13,15.0,10,18,5,2025-08-08 10:18:37
209,18,14,15.1,10,18,5,2025-08-08 10:18:37
210,18,15,15.4,10,18,5,2025-08-08 10:18:37
211,18,16,14.9,10,18,5,2025-08-08 10:18:37
212,18,17,14.9,10,18,5,2025-08-08 10:18:37
213,18,18,14.9,10,18,5,2025-08-08 10:18:37
214,18,19,15.3,10,18,5,2025-08-08 10:18:37
215,18,20,14.4,10,18,5,2025-08-08 10:18:37
216,18,21,14.6,10,18,5,2025-08-08 10:18:37
217,19,10,14.7,10,18,20,2025-08-08 10:18:37
218,19,11,15.2,10,18,20,2025-08-08 10:18:37
219,19,12,14.6,10,18,20,2025-08-08 10:18:37
220,19,13,15.0,10,18,20,2025-08-08 10:18:37
221,19,14,15.1,10,18,20,2025-08-08 10:18:37
222,19,15,15.4,10,18,20,2025-08-08 10:18:37
223,19,16,14.9,10,18,20,2025-08-08 10:18:37
224,19,17,14.9,10,18,20,2025-08-08 10:18:37
225,19,18,14.9,10,18,20,2025-08-08 10:18:37
226,19,19,15.4,10,18,20,2025-08-08 10:18:37
227,19,20,14.4,10,18,20,2025-08-08 10:18:37
228,19,21,14.6,10,18,20,2025-08-08 10:18:37
229,20,10,14.7,10,18,35,2025-08-08 10:18:37
230,20,11,15.2,10,18,35,2025-08-08 10:18:37
231,20,12,14.6,10,18,35,2025-08-08 10:18:37
232,20,13,15.0,10,18,35,2025-08-08 10:18:37
233,20,14,15.1,10,18,35,2025-08-08 10:18:37
234,20,15,15.5,10,18,35,2025-08-08 10:18:37
235,20,16,14.9,10,18,35,2025-08-08 10:18:37
236,20,17,14.9,10,18,35,2025-08-08 10:18:37
237,20,18,14.9,10,18,35,2025-08-08 10:18:37
238,20,19,15.4,10,18,35,2025-08-08 10:18:37
239,20,20,14.4,10,18,35,2025-08-08 10:18:37
240,20,21,14.6,10,18,35,2025-08-08 10:18:37
241,1,10,14.7,10,18,50,2025-08-08 10:23:39
242,1,11,15.2,10,18,50,2025-08-08 10:23:39
243,1,12,14.6,10,18,50,2025-08-08 10:23:39
244,1,13,15.0,10,18,50,2025-08-08 10:23:39
245,1,14,15.1,10,18,50,2025-08-08 10:23:39
246,1,15,15.5,10,18,50,2025-08-08 10:23:39
247,1,16,14.9,10,18,50,2025-08-08 10:23:39
248,1,17,14.9,10,18,50,2025-08-08 10:23:39
249,1,18,14.9,10,18,50,2025-08-08 10:23:39
250,1,19,15.4,10,18,50,2025-08-08 10:23:39
251,1,20,14.4,10,18,50,2025-08-08 10:23:39
252,1,21,14.6,10,18,50,2025-08-08 10:23:39
253,2,10,14.7,10,19,5,2025-08-08 10:23:39
254,2,11,15.2,10,19,5,2025-08-08 10:23:39
255,2,12,14.6,10,19,5,2025-08-08 10:23:39
256,2,13,14.9,10,19,5,2025-08-08 10:23:39
257,2,14,15.1,10,19,5,2025-08-08 10:23:39
258,2,15,15.5,10,19,5,2025-08-08 10:23:39
259,2,16,14.9,10,19,5,2025-08-08 10:23:39
260,2,17,14.9,10,19,5,2025-08-08 10:23:39
261,2,18,14.9,10,19,5,2025-08-08 10:23:39
262,2,19,15.4,10,19,5,2025-08-08 10:23:39
263,2,20,14.5,10,19,5,2025-08-08 10:23:39
264,2,21,14.6,10,19,5,2025-08-08 10:23:39
265,3,10,14.7,10,19,20,2025-08-08 10:23:39
266,3,11,15.2,10,19,20,2025-08-08 10:23:39
267,3,12,14.6,10,19,20,2025-08-08 10:23:39
268,3,13,15.0,10,19,20,2025-08-08 10:23:39
